registros;natureza;alvos;municipio;cod_ibge;mes;ano_fato;risp;rmbh
0;ROUBO;Veículos;ABADIA DOS DOURADOS;310010;1;2015;RISP 10 - PATOS DE MINAS;NÃO
1;ROUBO;Veículos;ABAETE;310020;1;2015;RISP 7 - DIVINÓPOLIS;NÃO
0;ROUBO;Veículos;ABRE-CAMPO;310030;1;2015;RISP 12 - IPATINGA;NÃO
0;ROUBO;Veículos;ACAIACA;310040;1;2015;RISP 12 - IPATINGA;NÃO
0;ROUBO;Veículos;ACUCENA;310050;1;2015;RISP 12 - IPATINGA;NÃO
0;ROUBO;Veículos;AGUA BOA;310060;1;2015;RISP 14 - CURVELO;NÃO
0;ROUBO;Veículos;AGUA COMPRIDA;310070;1;2015;RISP 5 - UBERABA;NÃO
1;ROUBO;Veículos;AGUANIL;310080;1;2015;RISP 6 - LAVRAS;NÃO
1;ROUBO;Veículos;AGUAS FORMOSAS;310090;1;2015;RISP 15 - TEÓFILO OTONI;NÃO
1;ROUBO;Veículos;AGUAS VERMELHAS;310100;1;2015;RISP 15 - TEÓFILO OTONI;NÃO
0;ROUBO;Veículos;AIMORES;310110;1;2015;RISP 8 - GOV. VALADARES;NÃO
0;ROUBO;Veículos;AIURUOCA;310120;1;2015;RISP 17 - POUSO ALEGRE;NÃO
0;ROUBO;Veículos;ALAGOA;310130;1;2015;RISP 17 - POUSO ALEGRE;NÃO
0;ROUBO;Veículos;ALBERTINA;310140;1;2015;RISP 17 - POUSO ALEGRE;NÃO
0;ROUBO;Veículos;ALEM PARAIBA;310150;1;2015;RISP 4 - JUIZ DE FORA;NÃO
14;ROUBO;Veículos;ALFENAS;310160;1;2015;RISP 18 - POÇOS DE CALDAS;NÃO
0;ROUBO;Veículos;ALFREDO VASCONCELOS;310163;1;2015;RISP 13 - BARBACENA;NÃO
0;ROUBO;Veículos;ALMENARA;310170;1;2015;RISP 15 - TEÓFILO OTONI;NÃO
0;ROUBO;Veículos;ALPERCATA;310180;1;2015;RISP 8 - GOV. VALADARES;NÃO
3;ROUBO;Veículos;ALPINOPOLIS;310190;1;2015;RISP 18 - POÇOS DE CALDAS;NÃO
1;ROUBO;Veículos;ALTEROSA;310200;1;2015;RISP 18 - POÇOS DE CALDAS;NÃO
0;ROUBO;Veículos;ALTO CAPARAO;310205;1;2015;RISP 12 - IPATINGA;NÃO
0;ROUBO;Veículos;ALTO JEQUITIBA;315350;1;2015;RISP 12 - IPATINGA;NÃO
0;ROUBO;Veículos;ALTO RIO DOCE;310210;1;2015;RISP 13 - BARBACENA;NÃO
0;ROUBO;Veículos;ALVARENGA;310220;1;2015;RISP 8 - GOV. VALADARES;NÃO
0;ROUBO;Veículos;ALVINOPOLIS;310230;1;2015;RISP 12 - IPATINGA;NÃO
0;ROUBO;Veículos;ALVORADA DE MINAS;310240;1;2015;RISP 14 - CURVELO;NÃO
0;ROUBO;Veículos;AMPARO DA SERRA;310250;1;2015;RISP 12 - IPATINGA;NÃO
0;ROUBO;Veículos;ANDRADAS;310260;1;2015;RISP 18 - POÇOS DE CALDAS;NÃO
0;ROUBO;Veículos;ANDRELANDIA;310280;1;2015;RISP 13 - BARBACENA;NÃO
0;ROUBO;Veículos;ANGELANDIA;310285;1;2015;RISP 14 - CURVELO;NÃO
0;ROUBO;Veículos;ANTONIO CARLOS;310290;1;2015;RISP 13 - BARBACENA;NÃO
0;ROUBO;Veículos;ANTONIO DIAS;310300;1;2015;RISP 12 - IPATINGA;NÃO
0;ROUBO;Veículos;ANTONIO PRADO DE MINAS;310310;1;2015;RISP 4 - JUIZ DE FORA;NÃO
0;ROUBO;Veículos;ARACAI;310320;1;2015;RISP 19 - SETE LAGOAS;NÃO
0;ROUBO;Veículos;ARACITABA;310330;1;2015;RISP 13 - BARBACENA;NÃO
0;ROUBO;Veículos;ARACUAI;310340;1;2015;RISP 15 - TEÓFILO OTONI;NÃO
10;ROUBO;Veículos;ARAGUARI;310350;1;2015;RISP 9 - UBERLÂNDIA;NÃO
0;ROUBO;Veículos;ARANTINA;310360;1;2015;RISP 13 - BARBACENA;NÃO
0;ROUBO;Veículos;ARAPONGA;310370;1;2015;RISP 4 - JUIZ DE FORA;NÃO
2;ROUBO;Veículos;ARAPORA;310375;1;2015;RISP 9 - UBERLÂNDIA;NÃO
0;ROUBO;Veículos;ARAPUA;310380;1;2015;RISP 10 - PATOS DE MINAS;NÃO
1;ROUBO;Veículos;ARAUJOS;310390;1;2015;RISP 7 - DIVINÓPOLIS;NÃO
1;ROUBO;Veículos;ARAXA;310400;1;2015;RISP 5 - UBERABA;NÃO
0;ROUBO;Veículos;ARCEBURGO;310410;1;2015;RISP 18 - POÇOS DE CALDAS;NÃO
2;ROUBO;Veículos;ARCOS;310420;1;2015;RISP 7 - DIVINÓPOLIS;NÃO
2;ROUBO;Veículos;AREADO;310430;1;2015;RISP 18 - POÇOS DE CALDAS;NÃO
0;ROUBO;Veículos;ARGIRITA;310440;1;2015;RISP 4 - JUIZ DE FORA;NÃO
0;ROUBO;Veículos;ARICANDUVA;310445;1;2015;RISP 14 - CURVELO;NÃO
0;ROUBO;Veículos;ARINOS;310450;1;2015;RISP 16 - UNAÍ;NÃO
0;ROUBO;Veículos;ASTOLFO DUTRA;310460;1;2015;RISP 4 - JUIZ DE FORA;NÃO
0;ROUBO;Veículos;ATALEIA;310470;1;2015;RISP 15 - TEÓFILO OTONI;NÃO
0;ROUBO;Veículos;AUGUSTO DE LIMA;310480;1;2015;RISP 14 - CURVELO;NÃO
0;ROUBO;Veículos;BAEPENDI;310490;1;2015;RISP 17 - POUSO ALEGRE;NÃO
1;ROUBO;Veículos;BALDIM;310500;1;2015;RISP 19 - SETE LAGOAS;SIM
0;ROUBO;Veículos;BAMBUI;310510;1;2015;RISP 7 - DIVINÓPOLIS;NÃO
0;ROUBO;Veículos;BANDEIRA;310520;1;2015;RISP 15 - TEÓFILO OTONI;NÃO
0;ROUBO;Veículos;BANDEIRA DO SUL;310530;1;2015;RISP 18 - POÇOS DE CALDAS;NÃO
0;ROUBO;Veículos;BARAO DE COCAIS;310540;1;2015;RISP 12 - IPATINGA;NÃO
0;ROUBO;Veículos;BARAO DO MONTE ALTO;310550;1;2015;RISP 4 - JUIZ DE FORA;NÃO
1;ROUBO;Veículos;BARBACENA;310560;1;2015;RISP 13 - BARBACENA;NÃO
0;ROUBO;Veículos;BARRA LONGA;310570;1;2015;RISP 12 - IPATINGA;NÃO
0;ROUBO;Veículos;BARROSO;310590;1;2015;RISP 13 - BARBACENA;NÃO
0;ROUBO;Veículos;BELA VISTA DE MINAS;310600;1;2015;RISP 12 - IPATINGA;NÃO
0;ROUBO;Veículos;BELMIRO BRAGA;310610;1;2015;RISP 4 - JUIZ DE FORA;NÃO
560;ROUBO;Veículos;BELO HORIZONTE;310620;1;2015;RISP 1 - BH;NÃO
1;ROUBO;Veículos;BELO ORIENTE;310630;1;2015;RISP 12 - IPATINGA;NÃO
0;ROUBO;Veículos;BELO VALE;310640;1;2015;RISP 13 - BARBACENA;NÃO
0;ROUBO;Veículos;BERILO;310650;1;2015;RISP 14 - CURVELO;NÃO
0;ROUBO;Veículos;BERIZAL;310665;1;2015;RISP 11 - MONTES CLAROS;NÃO
0;ROUBO;Veículos;BERTOPOLIS;310660;1;2015;RISP 15 - TEÓFILO OTONI;NÃO
88;ROUBO;Veículos;BETIM;310670;1;2015;RISP 2 - CONTAGEM;SIM
